,image_id,Male,partition
0,000051.jpg,1,0
1,000052.jpg,1,0
2,000065.jpg,1,0
3,000166.jpg,1,0
4,000198.jpg,0,0
5,000201.jpg,0,0
6,000240.jpg,0,0
7,000282.jpg,1,0
8,000352.jpg,1,0
9,000409.jpg,1,0
10,000414.jpg,1,0
11,000439.jpg,1,0
12,000444.jpg,1,0
13,000474.jpg,1,0
14,000525.jpg,0,0
15,000545.jpg,1,0
16,000559.jpg,1,0
17,000572.jpg,1,0
18,000608.jpg,1,0
19,000653.jpg,0,0
20,000716.jpg,0,0
21,000771.jpg,1,0
22,000798.jpg,1,0
23,000810.jpg,0,0
24,000845.jpg,1,0
25,000858.jpg,1,0
26,000873.jpg,1,0
28,000989.jpg,0,0
29,001140.jpg,1,0
30,001161.jpg,1,0
31,001218.jpg,0,0
32,001242.jpg,1,0
33,001248.jpg,0,0
34,001256.jpg,1,0
35,001270.jpg,1,0
36,001295.jpg,0,0
37,001401.jpg,1,0
39,001519.jpg,1,0
40,001613.jpg,1,0
41,001637.jpg,0,0
42,001665.jpg,0,0
43,001708.jpg,0,0
44,001782.jpg,1,0
45,001800.jpg,1,0
46,001894.jpg,0,0
47,001921.jpg,0,0
48,001983.jpg,1,0
49,002085.jpg,0,0
50,002125.jpg,1,0
51,002134.jpg,0,0
52,002150.jpg,1,0
53,002197.jpg,0,0
54,002202.jpg,0,0
55,002223.jpg,1,0
56,002256.jpg,0,0
57,002310.jpg,1,0
58,002362.jpg,0,0
59,002389.jpg,1,0
60,002415.jpg,1,0
61,002427.jpg,0,0
63,002450.jpg,0,0
64,002456.jpg,1,0
65,002502.jpg,0,0
66,002525.jpg,0,0
69,002592.jpg,0,0
70,002598.jpg,1,0
72,002662.jpg,0,0
73,002663.jpg,0,0
74,002693.jpg,0,0
75,002698.jpg,0,0
76,002747.jpg,1,0
77,002808.jpg,0,0
78,002834.jpg,0,0
79,002903.jpg,0,0
80,003026.jpg,0,0
81,003103.jpg,1,0
82,003148.jpg,0,0
83,003252.jpg,1,0
84,003306.jpg,0,0
88,003427.jpg,0,0
89,003461.jpg,1,0
90,003477.jpg,1,0
91,003516.jpg,1,0
92,003543.jpg,1,0
93,003630.jpg,1,0
94,003632.jpg,0,0
96,003683.jpg,1,0
97,003747.jpg,1,0
99,003847.jpg,0,0
100,003928.jpg,1,0
101,003940.jpg,1,0
102,003959.jpg,1,0
104,004007.jpg,1,0
105,004026.jpg,0,0
106,004109.jpg,1,0
107,004132.jpg,1,0
108,004136.jpg,0,0
109,004174.jpg,0,0
110,004178.jpg,0,0
113,004326.jpg,1,0
114,004353.jpg,1,0
115,004405.jpg,0,0
117,004422.jpg,1,0
118,004449.jpg,1,0
119,004460.jpg,1,0
120,004540.jpg,0,0
121,004557.jpg,0,0
122,004584.jpg,0,0
123,004599.jpg,1,0
125,004663.jpg,0,0
126,004726.jpg,0,0
127,004728.jpg,1,0
128,004757.jpg,0,0
129,004762.jpg,1,0
131,004886.jpg,1,0
132,005020.jpg,1,0
133,005089.jpg,0,0
135,005158.jpg,1,0
136,005249.jpg,1,0
138,005308.jpg,0,0
139,005334.jpg,0,0
140,005363.jpg,1,0
141,005390.jpg,1,0
143,005458.jpg,0,0
144,005558.jpg,0,0
146,005608.jpg,1,0
147,005707.jpg,0,0
148,005722.jpg,0,0
149,005799.jpg,1,0
150,005822.jpg,0,0
151,005851.jpg,1,0
153,006102.jpg,1,0
154,006107.jpg,0,0
155,006184.jpg,0,0
156,006219.jpg,1,0
157,006236.jpg,0,0
158,006254.jpg,0,0
159,006260.jpg,0,0
160,006386.jpg,1,0
161,006422.jpg,0,0
162,006490.jpg,1,0
164,006596.jpg,0,0
165,006713.jpg,1,0
166,006764.jpg,0,0
167,006783.jpg,1,0
168,006801.jpg,0,0
169,006825.jpg,1,0
170,006854.jpg,1,0
171,006947.jpg,1,0
172,006949.jpg,1,0
173,007002.jpg,1,0
174,007027.jpg,0,0
175,007032.jpg,0,0
176,007106.jpg,1,0
177,007111.jpg,1,0
178,007119.jpg,1,0
180,007137.jpg,0,0
181,007145.jpg,1,0
182,007291.jpg,0,0
183,007335.jpg,1,0
185,007383.jpg,0,0
186,007450.jpg,1,0
187,007484.jpg,0,0
188,007498.jpg,1,0
189,007505.jpg,0,0
191,007566.jpg,0,0
192,007572.jpg,1,0
193,007573.jpg,1,0
195,007588.jpg,0,0
197,007644.jpg,1,0
